,지역,가맹점명,분류,주소,Latitude,Longitude
14549,인천,아기사진나라,미술,인천 남동구 만수동 864-10 신주소 : 인천 남동구 만수서로 37번길 82,37.4599208,126.7270611
7010,경남,보보스모텔,숙박,경남 창원시 마산회원구 3.15대로 732,35.2206349,128.5795296
21590,인천,현대유도관,체육시설,인천광역시 서구  원창로 192 2층(신현동),37.5174731,126.67056
12452,경기,봉담디지털스튜디오,미술,경기 화성시 봉담읍 상리 27-11,37.2196496,126.9488252
9962,충북,농업회사법인 숲이랑 사오랑㈜,관광지,충북 괴산군 칠성면 사은리 산15-1 여우숲,36.7654595,127.8231767
14287,경북,청소년센터(의성군시설관리사업소),체육시설,경상북도 의성군 의성읍 충효로 68 의성청소년센터,36.3552048,128.7051737
21906,경남,하동국민체육센터(하동군청),체육시설,경상남도 하동군 적량면 공설운동장로 207 하동국민체육센터,35.0637109,127.7776063
17573,경남,대일해운,교통수단,경남 통영시 통영해안로 234,34.8396265,128.4196368
17603,경남,유성해운,교통수단,경남 통영시 통영해안로 234,34.8396265,128.4196368
17607,경남,한산농협,교통수단,경남 통영시 통영해안로 234,34.8396265,128.4196368
17608,경남,한솔해운,교통수단,경남 통영시 통영해안로 234,34.8396265,128.4196368
11395,경기,마리북스,도서,경기 김포시 김포한강2로 104번길 62 두현프라자 106-1호,37.6432397,126.6702043
7313,대구,미광표구사,미술,대구광역시 수성구  파동로2길 8,35.8069582,128.6226925
21018,전북,네오다다 김제점,미술,전라북도 김제시  도작로 130,35.8059817,126.8988892
714,광주,신가사진관,미술,광주 광산구 신가동 917-3,35.1792664,126.8252458
20148,대전,자운스포츠,체육용품,대전광역시 유성구  자운로 11 1층,36.3944079,127.3491651
6545,충남,놀숲 공주신관점,도서,충남 공주시 흑수골길 37 (신관동) 201호,36.4694797,127.1448131
19844,서울,요넥스 중화점(YONEX),체육용품,서울특별시 중랑구  동일로 815 대림빌딩 1층,37.6030917,127.0788763
4562,경기,마랑,미술,경기 파주시 쌀뚜기길 18,37.7232626,126.6991157
5597,경기,뉴스카이모텔,숙박,경기 부천시 원미구 부천로6번길 29(심곡동),37.4846167,126.784606
22651,서울,우리서점,도서,"서울 강남구 개포로82길 13-15, 202호 ",37.4887826,127.0683339
16625,경남,장유스포츠센터우정관,체육시설,경남 김해시 번화2로72(삼문동),35.1957447,128.8049723
9700,전북,인성체육사,체육용품,전북 전주시 완산구 전주객사5길 71,35.8212111,127.1445658
16598,경북,BL GYM(양덕 비엘),체육시설,경상북도 포항시 북구  장량로 160 메디컬 닥터스 8층,36.082111,129.3967479
21664,서울,에스바디워크필라테스 신논현점,체육시설,서울특별시 서초구  강남대로 479 신논현타워 지하 1층,37.5050428,127.0236893
14793,광주,놀숲 광주첨단점,도서,광주 광산구 임방울대로826번길 47 시너지빌딩 3층,35.215784,126.8485377
5120,강원,강원잉글리쉬플러스강릉점,도서,강원 강릉시 강릉대로457번길 7 (포남동),37.7743371,128.9122915
19282,서울,프라임3스튜디오,미술,서울특별시 노원구  덕릉로 725 보경속셈학원 B1층,37.6623001,127.0756063
5449,강원,로얄파크,숙박,강원 철원군 갈말읍 명성로 161,38.1461129,127.3077235
7646,경남,스튜디오공감,미술,경남 거제시 거제중앙로 1898-13 1층 2호,34.8882119,128.6247719
17630,서울,필스튜디오,미술,서울특별시 중구  수표로2길 9 예림빌딩 402호,37.5621818,126.9910282
7479,경기,하남 시외버스 터미널,교통수단,경기 하남시 창우동 224-1 하남터미널 1층,37.5391482,127.2302652
2448,대전,파고다한지상사필방,미술,대전광역시 중구  중앙로 136,36.3280359,127.4248669
14125,광주,삼천리자전거 남부점,체육용품,광주 남구 서문대로 713 (진월동),35.1156196,126.8992257
4614,경기,하니랜드((주)성원레저),관광지,경기 파주시 조리읍 장곡로 218 (장곡리),37.7498111,126.8335655
15665,충남,세종도서,도서,충청남도 공주시  웅진로 152-1,36.4539254,127.1246346
17087,강원,횡성역,교통수단,강원 횡성군 횡성읍 생운리 246-4,37.4830132,128.0096113
20190,충북,드림디포 감곡점,미술,충청북도 음성군 감곡면 장감로 167 2층,37.1186791,127.6408478
21694,경남,진주고속버스터미널(고속),교통수단,경남 진주시 동진로 16,35.1779614,128.0930205
10392,경기,롯데컬처웍스㈜롯데시네마 송탄,영상,경기 평택시 관광특구로 19 (서정동) 8층,37.0672161,127.060903
253,대구,달성문화센터(달성군시설관리공단),공연,대구광역시 달성군 다사읍 대실역북로2길 188 달성문화센터,35.865245,128.4607069
13263,대구,달성문화센터 수영장(달성군시설관리공단),체육시설,대구광역시 달성군 다사읍 대실역북로2길 188 달성문화센터,35.865245,128.4607069
20853,경기,최강단대태권도,체육시설,경기도 성남시 중원구  둔촌대로425번길 13 2층,37.4342607,127.1640574
8322,경기,김기택 탁구클럽,체육시설,경기 용인시 수지구 신봉1로 62 503 (엘지플라자제5층),37.3225727,127.0785698
10521,서울,하나스포츠,체육용품,서울 마포구 백범로 108-1,37.5470547,126.9432816
12935,경기,수원기독교백화점,도서,경기 수원시 팔달구 지동360-19,37.2767411,127.023512
543,제주,아가페서적,도서,제주 제주시 중앙로 554,33.4814679,126.5411458
10576,제주,극단 기억,공연,제주특별자치도 제주시 삼도일동  서광로 18길 5-3,33.4993149,126.5210232
13971,대전,호남한지필방,미술,"대전 중구 대종로 529번길 34, 1층 ",36.3301312,127.4214922
3673,충북,The Ray Studio,미술,충북 청주시 흥덕구 사창동 155-1 2층,36.6345487,127.4596443
21467,광주,예쁜손공예협동조합,문화체험,광주광역시 광산구  월곡중앙로1번길 11,35.1663386,126.8095166
4928,경북,중앙관광(유),여행사,경북 문경시 신흥로 163 (점촌동),36.5956225,128.2022708
20620,전남,2012포토그래피,미술,전남 여수시 쌍봉로 50,34.7662212,127.6613898
2999,서울,초록나무사진관,미술,"서울 강북구  한천로 982,(번동) ",37.6369264,127.0318291
20943,충북,삼천리자전거 내수점,체육용품,충북 청주시 청원구 내수읍 마산5길 10,36.7244733,127.5353105
6509,서울,충무아트홀,공연,서울특별시 중구  퇴계로 387 충무아트홀,37.5660139,127.0148131
13082,서울,충무스포츠센터,체육시설,서울특별시 중구  퇴계로 387 충무아트홀,37.5660139,127.0148131
19457,대전,희망스포츠,체육용품,대전광역시 유성구  궁동로 5 다솔아파트 상가동 지하,36.3622577,127.3465281
11483,부산,기장볼링센터,체육시설,부산 기장군 기장읍 기장대로 516,35.2412507,129.2207583
1403,충남,세광사진관,미술,충남 천안시 동남구 버들로 1,36.8095089,127.1484634
8250,경기,하늘탁구클럽,체육시설,경기 시흥시 은행로173번길 15 601호,37.444989,126.7969145
8940,서울,(주)모두투어네트워크,여행사,서울 중구 을지로1가  188의3 백남빌딩 501,37.5655831,126.9793777
19220,충남,CLUB596(클럽596),관광지,충청남도 태안군 남면 몽대로 360-9,36.683579,126.2683706
18461,대전,예그리나(젬세라믹),문화체험,대전광역시 서구  둔산남로189번길 18,36.3501741,127.3986794
2055,부산,(주)베이비유 부산지점,미술,부산 해운대구 중동 1490-9,35.1571137,129.1811187
15108,전남,함평볼링장,체육시설,전남 함평군 함평읍 함장로 1159,35.0597435,126.521777
16201,제주,(재)고·양·부삼성사재단(삼성혈),관광지,제주특별자치도 제주시  삼성로 22,33.5047027,126.529358
19259,경기,국립현대미술관 과천,미술,경기도 과천시  광명로 313 국립현대미술관,37.4310373,127.019961
12587,경기,삼천리자전거 삼송원흥점,체육용품,경기도 고양시 덕양구  삼송로 148-1,37.6524158,126.8904145
14625,전남,CGV 여수웅천,영상,전라남도 여수시  웅천로 19-35 2층~8층,34.7478121,127.6781371
19848,제주,만화카페 벌툰 제주시청점,도서,제주특별자치도 제주시  중앙로 230-1 4층,33.4989665,126.5298511
12557,서울,예성스튜디오,미술,서울 광진구 강변역로 50 동서울터미널 2층 32호,37.5333713,127.0933675
19440,인천,터닝포인트짐 신현점,체육시설,인천광역시 서구  가정로 375 금강아미움 상가 5층,37.5064219,126.672376
14322,경기,군자체육사,체육용품,경기도 안산시 단원구  화랑로 30 장내과의원 군자체육사,37.3318357,126.7961367
8869,경기,토화도예,문화체험,경기도 이천시 신둔면 도자예술로5번길 52,37.3239798,127.4129911
1148,경기,성남AMF볼링장,체육시설,경기 성남시 수정구 모란로 46,37.4372128,127.1269341
13268,경북,덕구유황원탕,관광지,경북 울진군 북면 덕구온천로 529,37.0827566,129.3203284
22775,서울,뉴타운문고,도서,서울특별시 강북구  도봉로 45 숭인시장 나진동1호,37.6130238,127.0289642
11958,전남,전남 진도 소포검정쌀 정보화마을,관광지,전남 진도군 지산면 소포길 119-4 소포리사무소,34.4829043,126.2024746
5877,울산,무거동사진관,미술,울산 울주군 범서읍 굴화리 295-1번지 원예농협하나로마트 2층,35.5575976,129.2539559
14305,울산,아마띠악기,음악,울산광역시 남구  돋질로 186 1층,35.5412781,129.3256153
13773,충북,율량매표소,교통수단,충북 청주시 상당구 율량동 517-1 율량매표소,36.6685495,127.4954511
6395,전남,하은문고,도서,"전남 광양시 희망길 74, 어울림체육관 1층 ",34.9401903,127.7220609
20513,세종,연기향토박물관,미술,세종 세종시 연서면 양대길 34-4 (청라리),36.5955193,127.2078271
22344,경기,양주국민체육센터(양주시청),체육시설,경기도 양주시  고읍남로 172 양주국민체육센터,37.7932723,127.0809801
8546,부산,우신프라자볼링장,체육시설,"부산 사상구 모라동 1362 우신플라자상가 601,602호 ",35.1839136,128.9919826
15261,경남,KAI HOTEL(진주KAI관광호텔),숙박,경상남도 진주시 정촌면 화개천로 132-14 진주카이호텔,35.1279375,128.1042344
20003,서울,영풍문고 종각 종로본점,도서,"서울특별시 종로구  청계천로 41 영풍빌딩 B1, B2",37.5696304,126.9821706
14744,전남,화순군문화센터수영장(화순군청),체육시설,전남 화순군 화순읍 광덕로 231 화순군민문화센터,35.0655684,126.9918494
19750,서울,세종수제악기,음악,"서울특별시 종로구  삼일대로 428 낙원상가 2층 A258, A259호",37.5726662,126.9878079
5888,전북,씨앤에이치프리미어렌탈 (주) 전주지점,교통수단,전북 전주시 덕진구 백제대로 534,35.8386915,127.1289457
2421,서울,홍익도서,도서,서울특별시 마포구  동교로 148-8,37.5549704,126.9186048
17646,경기,헬스피아,체육시설,경기도 광주시 퇴촌면 광동로 41 명성빌딩,37.4706358,127.3074402
21308,경북,롯데시네마 경주황성,영상,경북 경주시 광중길 24,35.8804563,129.2249237
19912,경기,일신서점,도서,"경기도 남양주시 와부읍 덕소로97번길 9 일신프라자 110, 111, 112호",37.5868143,127.2125016
1184,충남,교학서점,도서,충남 서천군 서천읍 군사리 585-1,36.0768064,126.6926635
18803,경북,천지문구,미술,경상북도 상주시  상서문2길 130,36.4127724,128.1556717
5991,서울,엘리자베스,숙박,서울 영등포구 영중로4길 29 파라다이스파크여관 (영등포동3가),37.5179236,126.9095198
8180,강원,578프라이빗하우스,숙박,강원 정선군 남면 낙동뒷내길 16,37.3150523,128.6799141
16404,제주,거암표구사,미술,제주 제주시 일도2동59-4,33.5031063,126.5468748
18716,대구,주)경대서점,도서,대구광역시 북구  경대로7길 32-1,35.8857923,128.6105265
2984,인천,가감포토,미술,인천 서구 원창로 216 3층,37.517305,126.6734781
4228,경기,라이브아트,공연,경기도 수원시 권선구  곡선로49번길 24-16,37.2394116,127.0312654
5944,전남,(유)고흥남도관광여행사,여행사,전남 고흥군 고흥읍 봉동주공길 78-3,34.6032968,127.2951286
