,번호,생태통로명,주소,도로명,도로번호,차선_수,위도_도,위도_분,위도_초,경도_도,경도_분,경도_초,관리기관,생태통로유형,설치기관,설치년도
374,1394,중부선 29.03k,경상남도 고성군 대가면 송계리,,(고속국도 35호선),왕복4차선,35,3.0,4.62,128,16.0,1.46,한국도로공사,양서 파충류 통로,한국도로공사,200512
375,1395,호남선 187.90k(원수육교),전라북도 익산시 여산면 원수리,,(고속국도 25호선),왕복8차선,36,1.0,33.38,127,6.0,11.25,한국도로공사,육교형,한국도로공사,201012
376,1396,순천완주선 49.98k(송내육교),전라북도 남원시 송동면 송내리,,(고속국도 27호선),왕복4차선,35,8.0,18.16,126,44.0,52.23,한국도로공사,육교형,한국도로공사,201012
377,1397,영암순천선 30.36k(토마육교),전라남도 강진군 작천면 토마리,,(고속국도 10호선),왕복4차선,34,40.0,47.416750134546,126,49.0,41.5410385209597,한국도로공사,육교형,한국도로공사,201212
378,1398,평택제천선 70.17k,충청북도 음성군 금왕읍 용계리,,(고속국도 40호선),왕복4차선,36,58.0,37.00,127,35.0,56.10,한국도로공사,터널형,한국도로공사,201312
379,1399,평택제천선 78.47k,충청북도 충주시 신니면 모남리,,(고속국도 40호선),왕복4차선,37,0.0,32.70,127,40.0,46.70,한국도로공사,터널형,한국도로공사,201312
380,1400,평택제천선 27.40k,경기도 안성시 원곡면 반제리,,(고속국도 40호선),왕복4차선,37,2.0,35.34,127,17.0,3.42,한국도로공사,터널형,한국도로공사,200712
381,1401,청주상주선 28.41k,충청북도 보은군 보은읍 지산리,,(고속국도 30호선),왕복4차선,36,27.0,35.68,127,42.0,27.58,한국도로공사,터널형,한국도로공사,200712
382,1402,평택제천선 55.89k,충청북도 진천군 이월면 내촌리,,(고속국도 40호선),왕복4차선,36,56.0,43.20,127,27.0,7,한국도로공사,양서 파충류 통로,한국도로공사,200812
383,1403,서천공주선 25.70k,충청남도 부여군 구룡면 현암리,,(고속국도 151호선),왕복4차선,36,15.0,56.10,126,48.0,12.99,한국도로공사,터널형,한국도로공사,200912
384,1404,무안광주선 21.60k,전라남도 나주시 문평면 송산리,,(고속국도 12호선),왕복4차선,35,4.0,7.37,126,36.0,18.72,한국도로공사,터널형,한국도로공사,200712
385,1405,청주상주선 70.08k,경상북도 상주시 가장동,,(고속국도 30호선),왕복4차선,36,22.0,9.85,128,8.0,1.93,한국도로공사,양서 파충류 통로,한국도로공사,200712
386,1406,청주상주선 65.85k,경상북도 상주시 내서면 능암리,,(고속국도 30호선),왕복4차선,36,23.0,36.58,128,5.0,48.36,한국도로공사,양서 파충류 통로,한국도로공사,200712
387,1407,청주상주선 62.97k,경상북도 상주시 내서면 신촌리,,(고속국도 30호선),왕복4차선,36,24.0,25.71,128,4.0,19.30,한국도로공사,양서 파충류 통로,한국도로공사,200712
